Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
0	Stromal cells	Epithelial	Epithelial	MMP11	-1.33	5.5	4.93e-08
0	Stromal cells	Epithelial	Epithelial	S100A2	-1.4	17.2	5.94e-08
0	Stromal cells	Epithelial	Epithelial	TAC3	-0.4	26.9	6.55e-08
0	Stromal cells	Epithelial	Epithelial	PDZK1IP1	0.4	14.8	9.03e-08
0	Stromal cells	Epithelial	Epithelial	PTGS2	-0.29	6.4	1.34e-07
0	Stromal cells	Epithelial	Epithelial	RPL36	-0.29	99.2	2.11e-07
0	Stromal cells	Epithelial	Epithelial	TPM4	-0.34	46.5	2.47e-07
0	Stromal cells	Epithelial	Epithelial	TUBB	-0.3	86.7	6.54e-07
0	Stromal cells	Epithelial	Epithelial	LINC00910	0.26	22.4	7.7e-07
0	Stromal cells	Epithelial	Epithelial	RPS24	-0.26	98.2	8.36e-07
0	Stromal cells	Epithelial	Epithelial	CKS2	-0.34	72.3	1.32e-06
0	Stromal cells	Epithelial	Epithelial	STMN1	-0.26	76.8	1.54e-06
0	Stromal cells	Epithelial	Epithelial	IER3	-0.66	43.4	1.67e-06
0	Stromal cells	Epithelial	Epithelial	AGR2	-0.4	10.8	2.04e-06
0	Stromal cells	Epithelial	Epithelial	ARL6IP1	-0.4	75.6	3.87e-06
1	Stromal cells	Epithelial	Epithelial	RRM2	0.72	60.7	1.16e-188
1	Stromal cells	Epithelial	Epithelial	KIAA0101	1.09	91.3	3.39e-183
1	Stromal cells	Epithelial	Epithelial	HMGB2	0.94	95.7	1.74e-175
1	Stromal cells	Epithelial	Epithelial	BIRC5	0.61	70.5	1.43e-156
1	Stromal cells	Epithelial	Epithelial	H2AFZ	0.73	97.6	2.68e-154
1	Stromal cells	Epithelial	Epithelial	TOP2A	0.62	67.8	3.65e-154
1	Stromal cells	Epithelial	Epithelial	HMGB1	0.66	99.7	2.55e-153
1	Stromal cells	Epithelial	Epithelial	SPC25	0.47	53.2	2.14e-149
1	Stromal cells	Epithelial	Epithelial	CKS1B	0.76	93.4	8.59e-144
1	Stromal cells	Epithelial	Epithelial	UBE2C	0.77	82.4	1.53e-142
1	Stromal cells	Epithelial	Epithelial	CDCA8	0.55	65.2	1.83e-140
1	Stromal cells	Epithelial	Epithelial	ZWINT	0.54	65.2	1.07e-138
1	Stromal cells	Epithelial	Epithelial	MAD2L1	0.46	62.3	3.42e-138
1	Stromal cells	Epithelial	Epithelial	MYBL2	0.45	53.8	5.52e-137
1	Stromal cells	Epithelial	Epithelial	TK1	0.6	65.5	1e-136
1	Stromal cells	Epithelial	Epithelial	TPX2	0.48	59.9	4.15e-136
1	Stromal cells	Epithelial	Epithelial	ASF1B	0.56	66.2	1.27e-135
1	Stromal cells	Epithelial	Epithelial	CDK1	0.53	62.7	1.18e-132
1	Stromal cells	Epithelial	Epithelial	TUBA1B	0.81	98.4	1.26e-131
1	Stromal cells	Epithelial	Epithelial	APOBEC3B	0.69	79.6	8.6e-131
