Cluster	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Gene	log2FC	Percentage (%)	Adjusted p-value
5	Stromal cells	Epithelial	Epithelial	BTF3L4	-0.54	51.1	1.97e-46
5	Stromal cells	Epithelial	Epithelial	CKLF	-0.61	51.9	2.62e-46
5	Stromal cells	Epithelial	Epithelial	TYMP	0.52	54.3	2.9e-46
5	Stromal cells	Epithelial	Epithelial	TNFRSF21	0.51	80.0	2.91e-46
5	Stromal cells	Epithelial	Epithelial	RPL7A	0.35	99.3	3.46e-46
5	Stromal cells	Epithelial	Epithelial	C19orf53	-0.44	80.5	3.57e-46
5	Stromal cells	Epithelial	Epithelial	TOMM40	-0.58	23.7	3.87e-46
5	Stromal cells	Epithelial	Epithelial	SKA2	-0.62	22.7	4.04e-46
5	Stromal cells	Epithelial	Epithelial	NUP210	-0.57	1.5	4.15e-46
5	Stromal cells	Epithelial	Epithelial	HM13	-0.54	32.3	4.26e-46
5	Stromal cells	Epithelial	Epithelial	RPL37	0.3	99.8	5.05e-46
5	Stromal cells	Epithelial	Epithelial	FIBP	-0.56	44.7	5.73e-46
5	Stromal cells	Epithelial	Epithelial	UBE2T	-0.62	4.9	6.2e-46
5	Stromal cells	Epithelial	Epithelial	CDK4	-0.58	31.9	6.22e-46
5	Stromal cells	Epithelial	Epithelial	CBX6	-0.78	37.0	6.83e-46
5	Stromal cells	Epithelial	Epithelial	COX7C	0.34	97.3	6.9e-46
5	Stromal cells	Epithelial	Epithelial	RBPMS	0.38	62.7	9.09e-46
5	Stromal cells	Epithelial	Epithelial	NUCKS1	-0.62	71.9	1.05e-45
5	Stromal cells	Epithelial	Epithelial	SUMO1	-0.44	79.8	1.06e-45
5	Stromal cells	Epithelial	Epithelial	C14orf1	-0.57	34.8	2.02e-45
5	Stromal cells	Epithelial	Epithelial	CCT6A	-0.54	44.2	2.5e-45
5	Stromal cells	Epithelial	Epithelial	CHCHD2	-0.38	91.1	3.56e-45
5	Stromal cells	Epithelial	Epithelial	JUND	0.49	79.3	3.69e-45
5	Stromal cells	Epithelial	Epithelial	C16orf13	-0.52	54.1	4.54e-45
5	Stromal cells	Epithelial	Epithelial	NCL	-0.56	66.9	5.42e-45
5	Stromal cells	Epithelial	Epithelial	UCP2	-0.7	42.7	6.54e-45
5	Stromal cells	Epithelial	Epithelial	MYC	0.56	53.6	7.38e-45
5	Stromal cells	Epithelial	Epithelial	MTHFD2	-0.57	9.6	7.57e-45
5	Stromal cells	Epithelial	Epithelial	HMGXB4	-0.53	19.5	7.75e-45
5	Stromal cells	Epithelial	Epithelial	MCM5	-0.55	5.9	1.05e-44
5	Stromal cells	Epithelial	Epithelial	MYCL	-0.67	14.8	1.1e-44
5	Stromal cells	Epithelial	Epithelial	SFN	0.88	82.0	1.25e-44
5	Stromal cells	Epithelial	Epithelial	MMD	-0.53	3.2	2.01e-44
5	Stromal cells	Epithelial	Epithelial	ACTA2	-0.65	31.9	2.78e-44
5	Stromal cells	Epithelial	Epithelial	CHD9	0.33	49.6	2.91e-44
5	Stromal cells	Epithelial	Epithelial	RAB40B	0.26	31.1	4.58e-44
5	Stromal cells	Epithelial	Epithelial	TM4SF1	0.5	36.5	5.95e-44
5	Stromal cells	Epithelial	Epithelial	NENF	-0.53	57.0	6.82e-44
5	Stromal cells	Epithelial	Epithelial	MORF4L1	-0.43	87.4	7.74e-44
5	Stromal cells	Epithelial	Epithelial	RHEB	-0.52	77.3	8.75e-44
5	Stromal cells	Epithelial	Epithelial	PSIP1	-0.54	15.1	1.15e-43
5	Stromal cells	Epithelial	Epithelial	UBL5	-0.36	95.1	1.32e-43
5	Stromal cells	Epithelial	Epithelial	MTUS1	0.26	38.5	1.51e-43
5	Stromal cells	Epithelial	Epithelial	UTP11L	-0.54	24.2	1.68e-43
5	Stromal cells	Epithelial	Epithelial	MAL2	-0.63	47.7	1.89e-43
5	Stromal cells	Epithelial	Epithelial	RNF145	0.33	47.2	1.97e-43
5	Stromal cells	Epithelial	Epithelial	SLC25A44	0.28	26.9	2.14e-43
5	Stromal cells	Epithelial	Epithelial	FAM213A	0.44	70.4	2.35e-43
5	Stromal cells	Epithelial	Epithelial	PSMG3	-0.52	26.4	2.46e-43
5	Stromal cells	Epithelial	Epithelial	ORMDL2	-0.55	44.2	2.64e-43
5	Stromal cells	Epithelial	Epithelial	USP1	-0.54	13.1	2.65e-43
5	Stromal cells	Epithelial	Epithelial	SRSF9	-0.52	66.4	3.32e-43
5	Stromal cells	Epithelial	Epithelial	RPS15A	0.31	99.5	4.88e-43
5	Stromal cells	Epithelial	Epithelial	TSC22D1	0.52	79.3	5.54e-43
5	Stromal cells	Epithelial	Epithelial	PSMD7	-0.52	41.7	8.05e-43
5	Stromal cells	Epithelial	Epithelial	ZFAND5	0.52	82.7	1.3e-42
5	Stromal cells	Epithelial	Epithelial	SGCE	-0.47	3.0	1.31e-42
5	Stromal cells	Epithelial	Epithelial	PDXK	-0.58	44.4	1.52e-42
5	Stromal cells	Epithelial	Epithelial	PBX1	0.33	49.1	1.54e-42
5	Stromal cells	Epithelial	Epithelial	PLCL2	-0.51	0.2	1.55e-42
5	Stromal cells	Epithelial	Epithelial	NUDT4	0.46	65.9	1.55e-42
5	Stromal cells	Epithelial	Epithelial	GABBR2	-0.48	0.5	1.78e-42
5	Stromal cells	Epithelial	Epithelial	TUBA4A	0.35	36.8	1.84e-42
5	Stromal cells	Epithelial	Epithelial	CCT3	-0.52	54.1	1.85e-42
5	Stromal cells	Epithelial	Epithelial	SELK	0.44	80.7	2.18e-42
5	Stromal cells	Epithelial	Epithelial	NEDD4L	0.37	54.3	2.81e-42
5	Stromal cells	Epithelial	Epithelial	F8A1	-0.44	2.0	3.07e-42
5	Stromal cells	Epithelial	Epithelial	APOBEC3B	-0.71	7.7	3.3e-42
5	Stromal cells	Epithelial	Epithelial	TCEA3	-0.56	23.5	3.57e-42
5	Stromal cells	Epithelial	Epithelial	RHOB	-0.61	65.9	3.82e-42
5	Stromal cells	Epithelial	Epithelial	SHFM1	-0.39	89.9	4.83e-42
5	Stromal cells	Epithelial	Epithelial	BTG2	0.56	92.8	5.29e-42
5	Stromal cells	Epithelial	Epithelial	CTNNB1	0.63	65.2	6.25e-42
5	Stromal cells	Epithelial	Epithelial	GRN	0.42	79.5	6.65e-42
5	Stromal cells	Epithelial	Epithelial	SRSF7	-0.52	62.2	6.67e-42
5	Stromal cells	Epithelial	Epithelial	PNRC2	0.32	46.7	9.58e-42
5	Stromal cells	Epithelial	Epithelial	BID	-0.63	31.4	1.21e-41
5	Stromal cells	Epithelial	Epithelial	FOSL2	0.44	72.3	1.4e-41
5	Stromal cells	Epithelial	Epithelial	OSTC	-0.51	53.8	1.54e-41
5	Stromal cells	Epithelial	Epithelial	LSM5	-0.55	63.0	1.56e-41
5	Stromal cells	Epithelial	Epithelial	NME4	-0.57	38.8	1.62e-41
5	Stromal cells	Epithelial	Epithelial	LRRC59	-0.53	33.1	1.77e-41
5	Stromal cells	Epithelial	Epithelial	RND3	0.64	85.2	1.85e-41
5	Stromal cells	Epithelial	Epithelial	SMYD3	-0.73	21.7	1.9e-41
5	Stromal cells	Epithelial	Epithelial	CXCL2	0.7	25.4	1.99e-41
5	Stromal cells	Epithelial	Epithelial	SMAD3	0.33	45.7	2.06e-41
5	Stromal cells	Epithelial	Epithelial	CDC42EP4	0.38	44.2	2.07e-41
5	Stromal cells	Epithelial	Epithelial	POLR2K	-0.49	65.7	2.11e-41
5	Stromal cells	Epithelial	Epithelial	FUS	-0.49	84.0	2.15e-41
5	Stromal cells	Epithelial	Epithelial	FOXA1	0.36	45.9	2.3e-41
5	Stromal cells	Epithelial	Epithelial	GATM	-0.51	9.1	3.29e-41
5	Stromal cells	Epithelial	Epithelial	RPL6	0.34	97.8	3.34e-41
5	Stromal cells	Epithelial	Epithelial	APOL1	0.52	60.0	3.66e-41
5	Stromal cells	Epithelial	Epithelial	TGIF1	0.58	82.2	3.84e-41
5	Stromal cells	Epithelial	Epithelial	TYMS	-0.72	7.4	3.85e-41
5	Stromal cells	Epithelial	Epithelial	SLC44A1	-0.6	53.8	4.39e-41
5	Stromal cells	Epithelial	Epithelial	GPRC5A	0.57	88.9	4.42e-41
5	Stromal cells	Epithelial	Epithelial	SRP9	-0.44	83.7	4.68e-41
5	Stromal cells	Epithelial	Epithelial	RPLP0	0.31	99.0	4.72e-41
5	Stromal cells	Epithelial	Epithelial	SRSF3	-0.45	85.2	5.13e-41
5	Stromal cells	Epithelial	Epithelial	NEAT1	0.53	98.3	5.44e-41
5	Stromal cells	Epithelial	Epithelial	KDELR3	-0.55	6.4	5.65e-41
5	Stromal cells	Epithelial	Epithelial	SSBP1	-0.49	65.2	5.84e-41
5	Stromal cells	Epithelial	Epithelial	LSM14A	-0.51	36.8	6.43e-41
5	Stromal cells	Epithelial	Epithelial	ACADVL	0.48	74.8	7.29e-41
5	Stromal cells	Epithelial	Epithelial	STIP1	-0.51	24.0	7.37e-41
5	Stromal cells	Epithelial	Epithelial	FAM118A	0.34	41.7	8.15e-41
5	Stromal cells	Epithelial	Epithelial	RPS19	0.28	100.0	8.94e-41
5	Stromal cells	Epithelial	Epithelial	DDR1	0.31	46.7	9.03e-41
5	Stromal cells	Epithelial	Epithelial	PPP4C	-0.47	65.2	9.69e-41
5	Stromal cells	Epithelial	Epithelial	DYNLRB1	-0.47	71.9	1.02e-40
5	Stromal cells	Epithelial	Epithelial	ERP27	-0.56	11.1	1.04e-40
5	Stromal cells	Epithelial	Epithelial	GCSH	-0.5	28.6	1.12e-40
5	Stromal cells	Epithelial	Epithelial	U2AF1	-0.45	78.0	1.39e-40
5	Stromal cells	Epithelial	Epithelial	SLC16A3	0.34	42.5	1.57e-40
5	Stromal cells	Epithelial	Epithelial	PDAP1	-0.5	44.7	1.87e-40
5	Stromal cells	Epithelial	Epithelial	IDH1	-0.63	41.5	1.95e-40
5	Stromal cells	Epithelial	Epithelial	MRPS34	-0.5	48.1	2.27e-40
5	Stromal cells	Epithelial	Epithelial	SF3B14	-0.43	79.5	2.38e-40
5	Stromal cells	Epithelial	Epithelial	PTGR1	0.38	49.4	2.58e-40
5	Stromal cells	Epithelial	Epithelial	ABHD14B	0.26	36.3	2.58e-40
5	Stromal cells	Epithelial	Epithelial	ALKBH7	0.36	63.2	2.96e-40
5	Stromal cells	Epithelial	Epithelial	RPS20	0.27	99.3	3.04e-40
5	Stromal cells	Epithelial	Epithelial	NEDD8	-0.4	85.4	3.11e-40
5	Stromal cells	Epithelial	Epithelial	DDOST	-0.53	48.4	3.4e-40
5	Stromal cells	Epithelial	Epithelial	DDIT4	0.65	59.3	3.45e-40
5	Stromal cells	Epithelial	Epithelial	C7orf73	-0.46	64.0	3.56e-40
5	Stromal cells	Epithelial	Epithelial	CD164	-0.51	76.5	3.6e-40
5	Stromal cells	Epithelial	Epithelial	ORMDL1	-0.51	37.0	3.74e-40
5	Stromal cells	Epithelial	Epithelial	SH3KBP1	-0.46	5.4	4.03e-40
5	Stromal cells	Epithelial	Epithelial	UGCG	0.39	64.2	4.13e-40
5	Stromal cells	Epithelial	Epithelial	SRP14	-0.32	96.8	5.04e-40
5	Stromal cells	Epithelial	Epithelial	NASP	-0.54	35.6	5.07e-40
5	Stromal cells	Epithelial	Epithelial	SMDT1	0.41	79.8	5.8e-40
5	Stromal cells	Epithelial	Epithelial	S100A10	-0.46	87.2	5.91e-40
5	Stromal cells	Epithelial	Epithelial	AHNAK	-0.56	46.2	6.77e-40
5	Stromal cells	Epithelial	Epithelial	ODF3B	0.25	33.8	7.38e-40
5	Stromal cells	Epithelial	Epithelial	BUD31	-0.48	54.3	1.07e-39
5	Stromal cells	Epithelial	Epithelial	HIBCH	0.3	49.4	1.4e-39
5	Stromal cells	Epithelial	Epithelial	NDFIP2	0.46	70.4	1.62e-39
5	Stromal cells	Epithelial	Epithelial	STXBP6	-0.43	1.7	1.76e-39
5	Stromal cells	Epithelial	Epithelial	HOPX	-0.56	7.4	2.01e-39
5	Stromal cells	Epithelial	Epithelial	PPIB	-0.44	81.0	2.16e-39
5	Stromal cells	Epithelial	Epithelial	PPP1R15B	0.38	58.3	2.24e-39
5	Stromal cells	Epithelial	Epithelial	FKBP3	-0.52	46.9	2.52e-39
5	Stromal cells	Epithelial	Epithelial	LSM2	-0.5	38.0	2.85e-39
5	Stromal cells	Epithelial	Epithelial	RAB11FIP1	0.49	51.9	3.17e-39
5	Stromal cells	Epithelial	Epithelial	EIF3F	0.45	83.0	3.27e-39
5	Stromal cells	Epithelial	Epithelial	CAP1	-0.48	70.4	3.74e-39
5	Stromal cells	Epithelial	Epithelial	PMEPA1	0.36	47.4	3.86e-39
5	Stromal cells	Epithelial	Epithelial	PSMA3	-0.49	55.3	3.86e-39
5	Stromal cells	Epithelial	Epithelial	MAGOHB	-0.47	15.6	4.24e-39
5	Stromal cells	Epithelial	Epithelial	NDUFC2	-0.4	76.3	5.02e-39
5	Stromal cells	Epithelial	Epithelial	SLC39A7	-0.47	17.5	5.77e-39
5	Stromal cells	Epithelial	Epithelial	FAM162A	0.45	75.3	5.83e-39
5	Stromal cells	Epithelial	Epithelial	COMT	0.45	75.1	5.84e-39
5	Stromal cells	Epithelial	Epithelial	GADD45GIP1	-0.46	64.7	6.03e-39
5	Stromal cells	Epithelial	Epithelial	CTSL	-0.51	26.4	8.48e-39
5	Stromal cells	Epithelial	Epithelial	CCDC64B	-0.51	23.0	1.47e-38
5	Stromal cells	Epithelial	Epithelial	ARPC5L	-0.5	43.2	1.5e-38
5	Stromal cells	Epithelial	Epithelial	MRPL33	-0.45	72.8	1.53e-38
5	Stromal cells	Epithelial	Epithelial	C7orf50	-0.5	28.4	1.73e-38
5	Stromal cells	Epithelial	Epithelial	NAMPT	0.53	66.9	1.8e-38
5	Stromal cells	Epithelial	Epithelial	SERPINB1	0.48	58.5	1.98e-38
5	Stromal cells	Epithelial	Epithelial	C10orf54	0.39	46.9	2.38e-38
5	Stromal cells	Epithelial	Epithelial	SOCS3	0.5	76.5	2.52e-38
5	Stromal cells	Epithelial	Epithelial	TOMM7	0.32	94.6	2.63e-38
5	Stromal cells	Epithelial	Epithelial	RALA	-0.46	19.8	3.2e-38
5	Stromal cells	Epithelial	Epithelial	SUMO2	-0.39	91.6	3.35e-38
5	Stromal cells	Epithelial	Epithelial	ZBTB43	0.27	34.6	3.41e-38
5	Stromal cells	Epithelial	Epithelial	THBS1	0.46	51.4	4.78e-38
5	Stromal cells	Epithelial	Epithelial	PA2G4	-0.52	54.3	5.06e-38
5	Stromal cells	Epithelial	Epithelial	GPC1	0.32	47.7	5.81e-38
5	Stromal cells	Epithelial	Epithelial	MEST	-0.96	9.1	7.6e-38
5	Stromal cells	Epithelial	Epithelial	PYCR1	-0.44	3.0	1.01e-37
5	Stromal cells	Epithelial	Epithelial	MED10	-0.49	32.3	1.15e-37
5	Stromal cells	Epithelial	Epithelial	CPNE1	-0.46	19.5	1.17e-37
5	Stromal cells	Epithelial	Epithelial	CHORDC1	-0.5	18.8	1.34e-37
5	Stromal cells	Epithelial	Epithelial	RPL38	0.28	98.5	1.63e-37
5	Stromal cells	Epithelial	Epithelial	PRSS23	-0.71	34.6	1.83e-37
5	Stromal cells	Epithelial	Epithelial	TSPYL1	0.42	66.7	1.86e-37
5	Stromal cells	Epithelial	Epithelial	MRPS26	-0.49	32.6	1.94e-37
5	Stromal cells	Epithelial	Epithelial	FGD5-AS1	-0.53	25.2	2.5e-37
5	Stromal cells	Epithelial	Epithelial	UQCC2	-0.52	49.1	2.57e-37
5	Stromal cells	Epithelial	Epithelial	KPNA2	-0.69	14.8	2.57e-37
5	Stromal cells	Epithelial	Epithelial	TOMM5	-0.51	30.6	2.67e-37
5	Stromal cells	Epithelial	Epithelial	MCM7	-0.5	13.8	2.81e-37
5	Stromal cells	Epithelial	Epithelial	TMED10	-0.47	68.9	2.82e-37
5	Stromal cells	Epithelial	Epithelial	PDIA4	-0.53	41.5	3.28e-37
5	Stromal cells	Epithelial	Epithelial	KDELR1	-0.47	59.3	3.51e-37
5	Stromal cells	Epithelial	Epithelial	ARF6	-0.54	58.8	3.7e-37
5	Stromal cells	Epithelial	Epithelial	ATP5G1	-0.5	64.9	3.78e-37
5	Stromal cells	Epithelial	Epithelial	PPM1G	-0.5	34.8	4.7e-37
5	Stromal cells	Epithelial	Epithelial	CD9	-0.44	95.6	4.73e-37
5	Stromal cells	Epithelial	Epithelial	CSNK1A1	0.41	78.5	5.89e-37
5	Stromal cells	Epithelial	Epithelial	RP11-332H18.4	-0.46	6.7	6.97e-37
5	Stromal cells	Epithelial	Epithelial	CD59	0.43	88.1	8.88e-37
5	Stromal cells	Epithelial	Epithelial	ATP1B1	0.49	72.1	9.21e-37
5	Stromal cells	Epithelial	Epithelial	UFM1	-0.48	43.5	1.03e-36
5	Stromal cells	Epithelial	Epithelial	SIGMAR1	-0.43	9.9	1.12e-36
5	Stromal cells	Epithelial	Epithelial	PSMD3	-0.46	25.4	1.19e-36
5	Stromal cells	Epithelial	Epithelial	CCL20	0.44	13.6	1.3e-36
5	Stromal cells	Epithelial	Epithelial	GNA15	0.27	40.0	1.73e-36
5	Stromal cells	Epithelial	Epithelial	NFYC	-0.45	14.8	2.07e-36
5	Stromal cells	Epithelial	Epithelial	TMX2	-0.47	25.4	2.26e-36
5	Stromal cells	Epithelial	Epithelial	BAZ1B	-0.44	13.3	2.27e-36
5	Stromal cells	Epithelial	Epithelial	TFDP1	-0.51	25.9	2.7e-36
5	Stromal cells	Epithelial	Epithelial	DST	0.57	64.7	2.96e-36
5	Stromal cells	Epithelial	Epithelial	GINS2	-0.44	1.5	3.01e-36
5	Stromal cells	Epithelial	Epithelial	NUSAP1	-0.72	2.0	3.39e-36
5	Stromal cells	Epithelial	Epithelial	FADS1	-0.42	1.5	3.63e-36
5	Stromal cells	Epithelial	Epithelial	CDC42EP3	-0.52	16.0	4.54e-36
5	Stromal cells	Epithelial	Epithelial	CCT2	-0.48	42.2	4.6e-36
5	Stromal cells	Epithelial	Epithelial	STK24	0.31	46.7	5.56e-36
5	Stromal cells	Epithelial	Epithelial	DEGS1	-0.49	12.6	6.13e-36
5	Stromal cells	Epithelial	Epithelial	AP2S1	-0.43	60.7	6.56e-36
5	Stromal cells	Epithelial	Epithelial	EIF4B	0.42	68.9	6.98e-36
5	Stromal cells	Epithelial	Epithelial	MMP24-AS1	0.29	50.1	8.59e-36
5	Stromal cells	Epithelial	Epithelial	PEPD	-0.5	30.6	1.01e-35
5	Stromal cells	Epithelial	Epithelial	C22orf39	-0.51	18.5	1.18e-35
5	Stromal cells	Epithelial	Epithelial	HSPH1	-0.55	40.7	1.23e-35
5	Stromal cells	Epithelial	Epithelial	PSMD11	-0.49	32.8	1.33e-35
5	Stromal cells	Epithelial	Epithelial	STRAP	-0.5	49.1	1.56e-35
5	Stromal cells	Epithelial	Epithelial	CAPN1	0.39	65.2	1.71e-35
5	Stromal cells	Epithelial	Epithelial	RPIA	-0.54	29.1	2.11e-35
5	Stromal cells	Epithelial	Epithelial	EFNA1	0.43	55.6	2.23e-35
5	Stromal cells	Epithelial	Epithelial	C8orf4	0.64	67.7	2.25e-35
5	Stromal cells	Epithelial	Epithelial	PHB	-0.49	53.8	2.86e-35
5	Stromal cells	Epithelial	Epithelial	IFNGR2	0.4	64.2	3.37e-35
5	Stromal cells	Epithelial	Epithelial	ZFAS1	0.41	88.4	3.38e-35
5	Stromal cells	Epithelial	Epithelial	HNRNPA3	-0.46	77.3	3.47e-35
5	Stromal cells	Epithelial	Epithelial	YBX3	0.37	86.4	3.51e-35
5	Stromal cells	Epithelial	Epithelial	PSMB10	0.36	50.1	4.19e-35
5	Stromal cells	Epithelial	Epithelial	EIF4EBP2	0.29	50.9	4.46e-35
5	Stromal cells	Epithelial	Epithelial	TCTEX1D2	-0.44	13.8	4.47e-35
5	Stromal cells	Epithelial	Epithelial	RPL22L1	-0.53	52.3	4.73e-35
5	Stromal cells	Epithelial	Epithelial	POLR2G	-0.46	38.8	4.94e-35
5	Stromal cells	Epithelial	Epithelial	MGAT1	-0.52	37.8	5.46e-35
5	Stromal cells	Epithelial	Epithelial	RAD23B	-0.48	41.5	6.23e-35
5	Stromal cells	Epithelial	Epithelial	TWSG1	-0.51	24.9	6.27e-35
5	Stromal cells	Epithelial	Epithelial	GLRX5	-0.47	24.4	7.54e-35
5	Stromal cells	Epithelial	Epithelial	EMC9	-0.49	10.1	8.33e-35
5	Stromal cells	Epithelial	Epithelial	ATP5O	0.41	82.7	8.55e-35
5	Stromal cells	Epithelial	Epithelial	AKR1B1	-0.68	24.0	8.58e-35
5	Stromal cells	Epithelial	Epithelial	AKR1A1	-0.45	50.4	8.71e-35
5	Stromal cells	Epithelial	Epithelial	ATF3	0.56	94.6	1.01e-34
5	Stromal cells	Epithelial	Epithelial	HNRNPA1L2	0.32	48.4	1.07e-34
5	Stromal cells	Epithelial	Epithelial	MX2	0.44	37.3	1.18e-34
5	Stromal cells	Epithelial	Epithelial	ADM	-0.73	53.3	1.52e-34
5	Stromal cells	Epithelial	Epithelial	CENPU	-0.42	0.5	1.65e-34
5	Stromal cells	Epithelial	Epithelial	PCDH10	-0.38	0.0	2.36e-34
5	Stromal cells	Epithelial	Epithelial	PIM3	0.47	79.8	2.82e-34
5	Stromal cells	Epithelial	Epithelial	RDX	-0.6	47.2	3.31e-34
5	Stromal cells	Epithelial	Epithelial	MPRIP-AS1	0.28	28.1	3.37e-34
5	Stromal cells	Epithelial	Epithelial	PEG10	-0.58	1.0	3.84e-34
5	Stromal cells	Epithelial	Epithelial	PITHD1	-0.46	20.7	4e-34
5	Stromal cells	Epithelial	Epithelial	MRPL55	-0.46	43.5	4.05e-34
5	Stromal cells	Epithelial	Epithelial	KLF4	0.52	81.2	4.31e-34
5	Stromal cells	Epithelial	Epithelial	RP1-241P17.4	0.36	62.7	4.33e-34
5	Stromal cells	Epithelial	Epithelial	C1orf43	-0.46	58.5	4.55e-34
5	Stromal cells	Epithelial	Epithelial	SLC44A2	-0.47	23.2	4.86e-34
5	Stromal cells	Epithelial	Epithelial	ACAA1	0.37	51.4	5.04e-34
5	Stromal cells	Epithelial	Epithelial	PSMA5	-0.46	50.6	5.79e-34
5	Stromal cells	Epithelial	Epithelial	GNAS	0.38	78.3	6.93e-34
5	Stromal cells	Epithelial	Epithelial	MRPL52	-0.43	64.2	6.99e-34
5	Stromal cells	Epithelial	Epithelial	CMTM3	-0.47	25.4	7.5e-34
5	Stromal cells	Epithelial	Epithelial	ABCC3	0.26	37.0	8.45e-34
5	Stromal cells	Epithelial	Epithelial	PAWR	-0.53	36.5	8.91e-34
5	Stromal cells	Epithelial	Epithelial	UBE2I	-0.42	65.4	9.41e-34
5	Stromal cells	Epithelial	Epithelial	MRPL12	-0.45	33.8	9.73e-34
5	Stromal cells	Epithelial	Epithelial	SELT	-0.44	61.2	1.04e-33
5	Stromal cells	Epithelial	Epithelial	CCDC85B	-0.52	34.3	1.04e-33
5	Stromal cells	Epithelial	Epithelial	E2F1	-0.39	0.7	1.06e-33
5	Stromal cells	Epithelial	Epithelial	PTPLAD1	-0.49	44.7	1.2e-33
5	Stromal cells	Epithelial	Epithelial	CA9	-0.53	5.2	1.23e-33
5	Stromal cells	Epithelial	Epithelial	WBP5	0.41	87.4	1.29e-33
5	Stromal cells	Epithelial	Epithelial	PSMD8	-0.42	65.2	1.53e-33
5	Stromal cells	Epithelial	Epithelial	ISCU	0.33	75.3	1.73e-33
5	Stromal cells	Epithelial	Epithelial	PPP1R14B	-0.46	52.6	1.78e-33
5	Stromal cells	Epithelial	Epithelial	C19orf48	-0.46	18.0	2.04e-33
5	Stromal cells	Epithelial	Epithelial	SSNA1	-0.46	51.1	2.12e-33
5	Stromal cells	Epithelial	Epithelial	C3orf52	0.26	33.8	2.23e-33
5	Stromal cells	Epithelial	Epithelial	NDUFAB1	-0.43	59.0	2.25e-33
5	Stromal cells	Epithelial	Epithelial	CYR61	-0.34	43.5	2.57e-33
5	Stromal cells	Epithelial	Epithelial	EPPK1	0.41	43.2	2.68e-33
5	Stromal cells	Epithelial	Epithelial	PTPRK	0.3	50.1	2.85e-33
5	Stromal cells	Epithelial	Epithelial	PPP1R13L	0.28	44.0	3.07e-33
5	Stromal cells	Epithelial	Epithelial	ASF1B	-0.47	0.2	3.8e-33
5	Stromal cells	Epithelial	Epithelial	RPS5	0.28	98.3	4.81e-33
5	Stromal cells	Epithelial	Epithelial	ERP29	-0.42	73.6	4.95e-33
5	Stromal cells	Epithelial	Epithelial	RAB2A	-0.41	69.1	5.07e-33
5	Stromal cells	Epithelial	Epithelial	EIF4EBP1	-0.43	18.8	5.34e-33
5	Stromal cells	Epithelial	Epithelial	SERPINH1	-0.68	32.6	5.72e-33
5	Stromal cells	Epithelial	Epithelial	SNRNP25	-0.45	18.3	6.42e-33
5	Stromal cells	Epithelial	Epithelial	F11R	0.39	63.5	7.82e-33
5	Stromal cells	Epithelial	Epithelial	ARL6IP6	-0.5	37.3	9.05e-33
5	Stromal cells	Epithelial	Epithelial	RPA2	-0.41	14.3	1.01e-32
5	Stromal cells	Epithelial	Epithelial	GOLT1B	-0.43	16.5	1.11e-32
5	Stromal cells	Epithelial	Epithelial	AKIRIN1	-0.49	42.5	1.34e-32
5	Stromal cells	Epithelial	Epithelial	MRPL36	-0.43	28.6	1.51e-32
5	Stromal cells	Epithelial	Epithelial	POP7	-0.43	19.0	1.67e-32
5	Stromal cells	Epithelial	Epithelial	POU6F2-AS1	-0.41	0.0	1.78e-32
5	Stromal cells	Epithelial	Epithelial	PSMB7	-0.43	61.7	1.81e-32
5	Stromal cells	Epithelial	Epithelial	NOTCH2NL	0.3	40.2	2.05e-32
5	Stromal cells	Epithelial	Epithelial	EMC4	-0.43	53.1	2.22e-32
5	Stromal cells	Epithelial	Epithelial	LEPREL4	-0.37	3.5	2.95e-32
5	Stromal cells	Epithelial	Epithelial	DIO2	-1.02	1.7	3.09e-32
5	Stromal cells	Epithelial	Epithelial	MRPL15	-0.46	30.1	3.15e-32
5	Stromal cells	Epithelial	Epithelial	POLR2H	-0.44	26.7	3.46e-32
5	Stromal cells	Epithelial	Epithelial	TXN2	-0.45	50.4	3.46e-32
5	Stromal cells	Epithelial	Epithelial	IFI27L1	-0.37	4.0	3.71e-32
5	Stromal cells	Epithelial	Epithelial	CNIH4	-0.44	53.3	4.24e-32
5	Stromal cells	Epithelial	Epithelial	CBX1	-0.45	19.3	4.82e-32
5	Stromal cells	Epithelial	Epithelial	MESDC2	-0.45	39.0	5.15e-32
5	Stromal cells	Epithelial	Epithelial	UBE2V2	-0.44	39.3	5.56e-32
5	Stromal cells	Epithelial	Epithelial	EPB41L3	-0.35	1.7	5.73e-32
5	Stromal cells	Epithelial	Epithelial	S100A13	-0.54	56.0	5.89e-32
5	Stromal cells	Epithelial	Epithelial	MDH2	-0.43	65.2	6.26e-32
5	Stromal cells	Epithelial	Epithelial	RIOK3	0.3	46.9	9.79e-32
5	Stromal cells	Epithelial	Epithelial	SF3B2	-0.43	50.1	1.13e-31
5	Stromal cells	Epithelial	Epithelial	MRFAP1	-0.43	67.2	1.19e-31
5	Stromal cells	Epithelial	Epithelial	IMPDH2	0.36	65.2	1.22e-31
5	Stromal cells	Epithelial	Epithelial	TMEM9	-0.42	25.7	1.33e-31
5	Stromal cells	Epithelial	Epithelial	RMI2	-0.4	6.9	1.34e-31
5	Stromal cells	Epithelial	Epithelial	SSRP1	-0.45	33.3	1.45e-31
5	Stromal cells	Epithelial	Epithelial	STRA13	-0.51	39.8	1.48e-31
5	Stromal cells	Epithelial	Epithelial	TMEM43	-0.44	19.5	1.58e-31
